Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/tickets/[id]/workflow,154,25,9,11.622353251297753,1.26069993712008,61.67600001208484,670.5,5.2840169728181,0.8577949631198215,9,12,14,18,23,27,36,53,62,62,62
GET,GET /api/v1/tickets/queue,185,25,89,185.96741351475185,1.2179999612271786,1111.1806998960674,12960.513513513513,6.347682727086679,0.8577949631198215,89,150,200,260,540,740,1100,1100,1100,1100,1100
POST,POST /api/v1/auth/login,30,0,130,134.84554331128797,115.42849987745285,178.26019995845854,231.66666666666666,1.0293539557437859,0.0,140,140,140,140,140,180,180,180,180,180,180
POST,POST /api/v1/tickets/[id]/claim,86,32,14,19.42688489852603,1.3808999210596085,106.15150001831353,405.72093023255815,2.950814673132186,1.0979775527933715,14,19,27,35,48,56,90,110,110,110,110
POST,POST /api/v1/tickets/submit,279,54,29,38.63524086940299,1.3787001371383667,427.9551000799984,360.16129032258067,9.572991788417207,1.8528371203388143,29,40,46,56,82,100,130,150,430,430,430
P5,concurrent claim invariant,43,21,17,23.740893018670207,1.972300000488758,108.3858001511544,0.0,1.475407336566093,0.72054776902065,17,25,35,46,54,61,110,110,110,110,110
,Aggregated,777,157,26,69.12481712214553,1.2179999612271786,1111.1806998960674,3401.903474903475,26.66026745376405,5.386952368392479,26,44,60,83,140,260,640,960,1100,1100,1100
