Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/tickets/[id]/workflow,95,0,10,11.392782091800319,6.14089984446764,38.12019992619753,767.8947368421053,3.259568996171325,0.0,10,12,13,14,17,20,31,38,38,38,38
GET,GET /api/v1/tickets/queue,78,0,230,248.44369612550602,115.48450007103384,587.3604000080377,15085.0,2.6762777021196142,0.0,230,270,290,310,360,390,580,590,590,590,590
POST,POST /api/v1/auth/login,15,0,120,124.57600669004023,112.21159994602203,144.16439994238317,231.66666666666666,0.5146687888691566,0.0,120,130,140,140,140,140,140,140,140,140,140
POST,POST /api/v1/tickets/[id]/claim,42,0,21,24.403057149833156,12.77439994737506,49.78980007581413,472.35714285714283,1.4410726088336385,0.0,22,25,28,29,38,47,50,50,50,50,50
POST,POST /api/v1/tickets/submit,131,0,31,35.23915496882307,20.607999991625547,187.78509995900095,401.0,4.494774089457301,0.0,31,35,40,42,48,58,66,95,190,190,190
P5,concurrent claim invariant,21,0,27,28.497985741567042,16.875799978151917,51.0671001393348,0.0,0.7205363044168193,0.0,27,28,29,31,48,49,51,51,51,51,51
,Aggregated,382,0,29,74.78868612210164,6.14089984446764,587.3604000080377,3469.698952879581,13.106898489867854,0.0,29,40,66,140,230,290,360,390,590,590,590
