Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785236851,5,POST,POST /api/v1/tickets/[id]/claim,1.333333,0.000000,21,21,27,27,38,38,38,38,38,38,38,8,0,21,23.273875034647062,14.739700127393007,37.72610006853938,471.375
1785236851,5,POST,POST /api/v1/tickets/submit,1.333333,0.000000,32,35,46,46,48,66,66,66,66,66,66,14,0,32,40.45288570757423,22.329999832436442,95.44549998827279,401.0
1785236851,5,P5,concurrent claim invariant,0.666667,0.000000,28,28,38,38,38,38,38,38,38,38,38,4,0,27,28.02010002778843,18.817000091075897,38.06399996392429,0.0
1785236851,5,,Aggregated,8.333333,0.000000,44,110,130,140,170,250,260,280,280,280,280,59,0,45,80.97472034742015,7.317899959161878,276.5766999218613,2879.7457627118642
1785236852,5,GET,GET /api/v1/tickets/[id]/workflow,1.250000,0.000000,11,12,13,13,20,20,20,20,20,20,20,10,0,9,10.730319982394576,7.317899959161878,20.107199903577566,771.3
1785236852,5,GET,GET /api/v1/tickets/queue,1.000000,0.000000,200,230,260,280,560,560,560,560,560,560,560,11,0,200,229.2399181645702,115.48450007103384,561.5186998620629,15085.0
1785236852,5,POST,POST /api/v1/auth/login,3.000000,0.000000,130,130,140,140,140,140,140,140,140,140,140,15,0,120,124.57600669004023,112.21159994602203,144.16439994238317,231.66666666666666
1785236852,5,POST,POST /api/v1/tickets/[id]/claim,1.500000,0.000000,20,21,27,27,38,38,38,38,38,38,38,10,0,20,22.061260044574738,14.359800145030022,37.72610006853938,472.2
1785236852,5,POST,POST /api/v1/tickets/submit,2.500000,0.000000,33,36,46,46,66,190,190,190,190,190,190,18,0,33,47.29084999093579,22.329999832436442,187.78509995900095,401.0
1785236852,5,P5,concurrent claim invariant,0.750000,0.000000,28,28,38,38,38,38,38,38,38,38,38,5,0,27,26.481020031496882,18.817000091075897,38.06399996392429,0.0
1785236852,5,,Aggregated,10.000000,0.000000,36,110,130,140,190,250,280,560,560,560,560,69,0,38,82.63529565833186,7.317899959161878,561.5186998620629,2740.0434782608695
1785236853,5,GET,GET /api/v1/tickets/[id]/workflow,1.200000,0.000000,11,12,12,12,13,20,20,20,20,20,20,14,0,9,10.416914293143366,6.783900083974004,20.107199903577566,767.7857142857143
1785236853,5,GET,GET /api/v1/tickets/queue,1.400000,0.000000,230,260,280,380,580,590,590,590,590,590,590,18,0,230,269.9822277839606,115.48450007103384,587.3604000080377,15085.0
1785236853,5,POST,POST /api/v1/auth/login,3.000000,0.000000,130,130,140,140,140,140,140,140,140,140,140,15,0,120,124.57600669004023,112.21159994602203,144.16439994238317,231.66666666666666
1785236853,5,POST,POST /api/v1/tickets/[id]/claim,1.600000,0.000000,20,21,24,27,38,38,38,38,38,38,38,12,0,20,21.863458367685478,14.359800145030022,37.72610006853938,471.8333333333333
1785236853,5,POST,POST /api/v1/tickets/submit,2.800000,0.000000,32,36,44,46,66,190,190,190,190,190,190,19,0,33,46.42292104759499,22.329999832436442,187.78509995900095,401.0
1785236853,5,P5,concurrent claim invariant,0.800000,0.000000,25,28,28,38,38,38,38,38,38,38,38,6,0,25,26.18838334456086,18.817000091075897,38.06399996392429,0.0
1785236853,5,,Aggregated,10.800000,0.000000,35,120,140,150,230,280,580,590,590,590,590,84,0,36,97.32957501130711,6.783900083974004,587.3604000080377,3559.940476190476
1785236854,5,GET,GET /api/v1/tickets/[id]/workflow,1.666667,0.000000,9,11,12,12,13,20,20,20,20,20,20,19,0,9,9.933857896708345,6.565300049260259,20.107199903577566,767.6315789473684
1785236854,5,GET,GET /api/v1/tickets/queue,1.666667,0.000000,230,230,280,380,580,590,590,590,590,590,590,19,0,230,265.70213158418863,115.48450007103384,587.3604000080377,15085.0
1785236854,5,POST,POST /api/v1/auth/login,2.500000,0.000000,130,130,140,140,140,140,140,140,140,140,140,15,0,120,124.57600669004023,112.21159994602203,144.16439994238317,231.66666666666666
1785236854,5,POST,POST /api/v1/tickets/[id]/claim,1.666667,0.000000,20,21,24,27,38,38,38,38,38,38,38,12,0,20,21.863458367685478,14.359800145030022,37.72610006853938,471.8333333333333
